year,occupied_nights,total_persons,avg_price,avg_lead_time,days_in_year,occupancy_pct,avg_persons,yearly_revenue,by_platform
2023,12,38,76.23780166666667,34.0,365,3.29,3.1666666666666665,914.8536200000001,"{'AirBnB': {'nights': 12, 'persons_nights': 38, 'avg_price': 76.23780166666667, 'avg_persons': 3.17, 'revenue': 914.8536200000001, 'avg_lead_time': 34.0}}"
2024,77,215,74.11391779220779,31.5625,366,21.04,2.792207792207792,5706.771669999999,"{'AirBnB': {'nights': 33, 'persons_nights': 98, 'avg_price': 80.0784293939394, 'avg_persons': 2.97, 'revenue': 2642.5881700000004, 'avg_lead_time': 25.43}, 'Booking': {'nights': 44, 'persons_nights': 117, 'avg_price': 69.64053409090909, 'avg_persons': 2.66, 'revenue': 3064.1834999999996, 'avg_lead_time': 36.33}}"
2025,44,128,103.04872727272728,53.22222222222222,365,12.05,2.909090909090909,4534.144,"{'Booking': {'nights': 1, 'persons_nights': 2, 'avg_price': 70.64399999999999, 'avg_persons': 2.0, 'revenue': 70.64399999999999, 'avg_lead_time': 0}, 'Direct': {'nights': 43, 'persons_nights': 126, 'avg_price': 103.80232558139535, 'avg_persons': 2.93, 'revenue': 4463.5, 'avg_lead_time': 53.22}}"
2026,1,2,94.80000000000001,,365,0.27,2.0,94.80000000000001,"{'Direct': {'nights': 1, 'persons_nights': 2, 'avg_price': 94.80000000000001, 'avg_persons': 2.0, 'revenue': 94.80000000000001, 'avg_lead_time': 0}}"
